20100603000853 13344.916  3880.856 55834.458 .
20100603000854 13344.877  3880.895 55834.469 .
20100603000855 13344.862  3880.907 55834.449 .
20100603000856 13344.927  3880.929 55834.501 .
20100603000857 13344.886  3880.910 55834.461 .
20100603000858 13344.807  3880.881 55834.504 .
20100603000859 13344.777  3880.947 55834.469 .
20100603000900 13344.744  3880.916 55834.455 .
20100603000901 13344.751  3880.932 55834.467 .
20100603000902 13344.679  3880.925 55834.475 .
20100603000903 13344.638  3880.894 55834.502 .
20100603000904 13344.570  3880.901 55834.475 .
20100603000905 13344.597  3880.898 55834.495 .
20100603000906 13344.480  3880.865 55834.489 .
20100603000907 13344.433  3880.893 55834.427 .
20100603000908 13344.358  3880.936 55834.470 .
20100603000909 13344.338  3880.905 55834.457 .
20100603000910 13344.259  3880.879 55834.485 .
20100603000911 13344.223  3880.896 55834.458 .
20100603000912 13344.144  3880.909 55834.431 .
20100603000913 13344.032  3880.869 55834.429 .
20100603000914 13343.991  3880.897 55834.462 .
20100603000915 13343.865  3880.860 55834.436 .
20100603000916 13343.919  3880.866 55834.440 .
20100603000917 13343.860  3880.843 55834.472 .
20100603000918 13343.673  3880.741 55834.420 .
20100603000919 13343.667  3880.715 55834.437 .
20100603000920 13343.645  3880.812 55834.466 .
20100603000921 13343.542  3880.752 55834.472 .
20100603000922 13343.456  3880.760 55834.441 .
20100603000923 13343.414  3880.793 55834.436 .
20100603000924 13343.430  3880.725 55834.426 .
20100603000925 13343.416  3880.717 55834.415 .
20100603000926 13343.372  3880.831 55834.422 .
20100603000927 13343.344  3880.899 55834.433 .
20100603000928 13343.309  3880.958 55834.422 .
20100603000929 13343.284  3880.965 55834.402 .
20100603000930 13343.242  3881.011 55834.416 .
20100603000931 13343.185  3881.021 55834.364 .
20100603000932 13343.176  3881.014 55834.350 .
20100603000933 13343.180  3881.081 55834.374 .
20100603000934 13343.140  3881.127 55834.427 .
20100603000935 13343.004  3881.119 55834.391 .
20100603000936 13343.012  3881.157 55834.334 .
20100603000937 13343.048  3881.104 55834.365 .
20100603000938 13342.962  3881.191 55834.407 .
20100603000939 13342.948  3881.183 55834.390 .
20100603000940 13342.913  3881.188 55834.364 .
20100603000941 13342.935  3881.239 55834.379 .
20100603000942 13342.853  3881.285 55834.329 .
20100603000943 13342.821  3881.277 55834.328 .
20100603000944 13342.788  3881.345 55834.323 .
20100603000945 13342.762  3881.278 55834.342 .
20100603000946 13342.683  3881.306 55834.290 .
20100603000947 13342.683  3881.365 55834.309 .
20100603000948 13342.673  3881.417 55834.315 .
20100603000949 13342.668  3881.467 55834.264 .
20100603000950 13342.670  3881.417 55834.266 .
20100603000951 13342.673  3881.402 55834.296 .
20100603000952 13342.620  3881.432 55834.255 .
20100603000953 13342.567  3881.498 55834.235 .
20100603000954 13342.613  3881.498 55834.261 .
20100603000955 13342.600  3881.557 55834.231 .
20100603000956 13342.598  3881.550 55834.232 .
20100603000957 13342.579  3881.555 55834.203 .
20100603000958 13342.535  3881.559 55834.179 .
20100603000959 13342.536  3881.572 55834.170 .
20100603001000 13342.504  3881.442 55834.154 .
20100603001001 13342.527  3881.475 55834.134 .
20100603001002 13342.470  3881.414 55834.134 .
20100603001003 13342.460  3881.373 55834.153 .
20100603001004 13342.452  3881.293 55834.107 .
20100603001005 13342.369  3881.248 55834.086 .
20100603001006 13342.320  3881.168 55834.124 .
20100603001007 13342.257  3881.084 55834.095 .
